Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Green,LED_0805_2012Metric,236.9035,-50.419,180,top
D2,Green,LED_0805_2012Metric,236.7915,-54.356,180,top
D3,Green,LED_0805_2012Metric,236.0295,-74.8665,180,top
D4,Green,LED_0805_2012Metric,236.0295,-72.9615,180,top
D5,SM4007PL,D_SOD-123F,205.77,-66.925,-90,top
FUSE1,1A,Fuse_1206_3216Metric,203.45,-67,-90,top
G***,LOGO,mac_happy_small,236.35,-88.7095,0,top
IC1,SN74LS641-1DW,SOIC127P1030X265-20N,199.644,-57.785,0,top
IC2,SN74LS641-1DW,SOIC127P1030X265-20N,186.69,-57.785,0,top
IC3,SN74LS641-1DW,SOIC127P1030X265-20N,212.598,-57.785,180,top
IC4,SN74LS641-1DW,SOIC127P1030X265-20N,225.552,-57.785,180,top
J8,USB_B_Micro,U254051N4BH806,237.39,-61.46,90,top
R1,2k,R_0402_1005Metric,232.9585,-50.3555,0,top
R2,2k,R_0402_1005Metric,232.9585,-49.3395,0,top
R3,5.1k,R_0402_1005Metric,233.807,-74.803,-90,top
R4,2k,R_0402_1005Metric,233.807,-72.898,-90,top
R5,10k,R_0402_1005Metric,227.0125,-50.569,-90,top
R6,10k,R_0402_1005Metric,228.2825,-50.569,-90,top
R7,10k,R_0402_1005Metric,229.5525,-50.569,-90,top
R8,10k,R_0402_1005Metric,230.8225,-50.569,-90,top
R9,10k,R_0402_1005Metric,212.725,-50.569,-90,top
R10,10k,R_0402_1005Metric,213.995,-50.569,-90,top
R11,10k,R_0402_1005Metric,215.265,-50.569,-90,top
R12,10k,R_0402_1005Metric,216.535,-50.569,-90,top
R13,10k,R_0402_1005Metric,217.805,-50.569,-90,top
R14,10k,R_0402_1005Metric,184.15,-50.569,-90,top
R15,10k,R_0402_1005Metric,185.42,-50.569,-90,top
R16,10k,R_0402_1005Metric,186.69,-50.569,-90,top
R17,10k,R_0402_1005Metric,187.96,-50.569,-90,top
R18,10k,R_0402_1005Metric,189.23,-50.569,-90,top
R19,10k,R_0402_1005Metric,190.5,-50.569,-90,top
R20,10k,R_0402_1005Metric,191.77,-50.569,-90,top
R21,10k,R_0402_1005Metric,193.04,-50.569,-90,top
R22,10k,R_0402_1005Metric,194.31,-50.569,-90,top
R23,220,R_0805_2012Metric,223.0025,-66.4,-90,top
R24,220,R_0805_2012Metric,224.915,-66.4,-90,top
R25,220,R_0805_2012Metric,226.8275,-66.4,-90,top
R26,220,R_0805_2012Metric,228.74,-66.4,-90,top
R27,220,R_0805_2012Metric,213.44,-66.4,-90,top
R28,220,R_0805_2012Metric,215.3525,-66.4,-90,top
R29,220,R_0805_2012Metric,217.265,-66.4,-90,top
R30,220,R_0805_2012Metric,219.1775,-66.4,-90,top
R31,220,R_0805_2012Metric,221.09,-66.4,-90,top
R32,220,R_0805_2012Metric,182,-66.4,-90,top
R33,220,R_0805_2012Metric,183.9125,-66.4,-90,top
R34,220,R_0805_2012Metric,185.825,-66.4,-90,top
R35,220,R_0805_2012Metric,187.7375,-66.4,-90,top
R36,220,R_0805_2012Metric,189.65,-66.4,-90,top
R37,220,R_0805_2012Metric,191.5625,-66.4,-90,top
R38,220,R_0805_2012Metric,193.475,-66.4,-90,top
R39,220,R_0805_2012Metric,195.3875,-66.4,-90,top
R40,220,R_0805_2012Metric,197.3,-66.4,-90,top
R41,330,R_0805_2012Metric,223.0025,-69.8,90,top
R42,330,R_0805_2012Metric,224.915,-69.8,90,top
R43,330,R_0805_2012Metric,226.8275,-69.8,90,top
R44,330,R_0805_2012Metric,228.74,-69.8,90,top
R45,330,R_0805_2012Metric,213.44,-69.8,90,top
R46,330,R_0805_2012Metric,215.3525,-69.8,90,top
R47,330,R_0805_2012Metric,217.265,-69.8,90,top
R48,330,R_0805_2012Metric,219.1775,-69.8,90,top
R49,330,R_0805_2012Metric,221.09,-69.8,90,top
R50,330,R_0805_2012Metric,182,-69.8,90,top
R51,330,R_0805_2012Metric,183.9125,-69.8,90,top
R52,330,R_0805_2012Metric,185.825,-69.8,90,top
R53,330,R_0805_2012Metric,187.7375,-69.8,90,top
R54,330,R_0805_2012Metric,189.65,-69.8,90,top
R55,330,R_0805_2012Metric,191.5625,-69.8,90,top
R56,330,R_0805_2012Metric,193.475,-69.8,90,top
R57,330,R_0805_2012Metric,195.3875,-69.8,90,top
R58,330,R_0805_2012Metric,197.3,-69.8,90,top
S1,Switch x2,SOIC127P812X230-4N,210.08,-69.4995,0,top
